id,created_at,anonymized_text,topic,topic_score,sentiment,sentiment_score,conversation_id,source,entities
1,2026-09-22T08:00:01+00:00,"@424332 [NAME], I Believe We've Got All We Need",account management,1,neutral,1,36a022de82791c2f1d5a4153eb656de2,ingest,PER:Jo
2,2026-09-22T08:00:02+00:00,"Waited a year [NAME], any luck on finding your finest Yule log?",product question,1,neutral,1,f177a66c479bc29b1ed648ebef890585,ingest,PER:Ryan; MISC:Yule log
3,2026-09-22T08:00:03+00:00,"@266264 @266265 She’s a ‘kipper with an agenda, doubt she’s really bothered about the animal treatment probably just a anti Muslim rant......",complaint,1,negative,1,3ec823c95c72550de76e1d73758a68c9,ingest,MISC:Muslim
4,2026-09-22T08:00:04+00:00,disappoint from u Amazon😞😞u have to shre the trainofcard contest point we have to see our collected point &amp; winners point cheater,complaint,1,negative,1,4a5ad6afc0d88cf713ced18a80d11490,ingest,ORG:Amazon
5,2026-09-22T08:00:05+00:00,We have called and advised. ^IN,complaint,1,neutral,1,c66b42fcd7e375b493d04b7df19b06ff,ingest,
6,2026-09-22T08:00:06+00:00,@AppleSupport Yes all fine now thanks,praise and positive feedback,1,positive,1,495e668584f6749fb3c3cb34d0b6d3a5,ingest,ORG:AppleSupport
7,2026-09-22T08:00:07+00:00,"Any chance you could take a look at order # [ID]? ""Refunded to gift card"" but how/where do I access said gift card? I kinda gave up as feels like pulling teeth shopping online with you but wife wants her £12!",billing and payments,1,negative,1,aeebe26705ad0c1590cf0181d62a18cb,ingest,
8,2026-09-22T08:00:08+00:00,New bike lane? Extended garage for working on cars!! From yesterday. [URL],product question,1,neutral,1,5bd7dc5048bdce0e5d6b6c6f3667721a,ingest,
9,2026-09-22T08:00:09+00:00,We weren't planning on it but ended up visiting sooner than we thought: we spent a week at Van Zandt in [LOCATION] after Harvey. Another gem!,praise and positive feedback,1,positive,1,80c10995c51d1570fe5bbb957eaaa3b3,ingest,ORG:Van Zandt; LOC:Austin; MISC:Harvey
10,2026-09-22T08:00:10+00:00,"You win for the worst travel experience.  Ever.  Thanks a million, @JetBlue for rescuing us. #forcedovernightstay",complaint,1,negative,1,9fbcbdbeac5ef6910d0c419803bf7c33,ingest,ORG:JetBlue
11,2026-09-22T08:00:11+00:00,We don't have a date for those tickets yet I'm afraid. ^PA,product question,1,neutral,1,a6a7fc7f36c1afe744d0bdd2a2c17efd,ingest,
12,2026-09-22T08:00:12+00:00,"@Delta Hi, @AskLyft, @Delta--Still looking for help with this.  Have you all abandoned this like you did [NAME] [DATE]?",complaint,1,negative,1,b8ee7af97ec918e5355be59ceaa54eb2,ingest,ORG:Delta; ORG:AskLyft; ORG:Delta; PER:Kline
13,2026-09-22T08:00:13+00:00,yes I do I'm assuming I'll try to load it.,technical issue,1,neutral,1,c6ffead56cd91a8312b61602d73a66fa,ingest,
14,2026-09-22T08:00:14+00:00,"These guys were back this year minus the Sainsbury's bag, I tried using MY nectar card to lure them on the dancefloor. Didn't work",product question,1,neutral,1,c8f1c3e2d50f170ef529ef47f0cf9135,ingest,ORG:Sainsbury; MISC:nectar
15,2026-09-22T08:00:15+00:00,"Hmm, That is a protect content error code. 🤔  Let's check for Flash updates: [URL] Notice an improvement?",technical issue,1,neutral,1,1395ec884cff5da4464666d01e621776,ingest,MISC:Flash
16,2026-09-22T08:00:16+00:00,thank you for sending me this FGW lanyard. #firsttrainlanyard [URL],praise and positive feedback,1,positive,1,ba864753a45f620c697c889f875ac173,ingest,ORG:FGW
17,2026-09-22T08:00:17+00:00,2: You might also want to try using an incognito window. Let us know how it goes /MQ,technical issue,1,neutral,1,f676de9c77d626e1556d18b7f970cdce,ingest,
18,2026-09-22T08:00:18+00:00,"I'm sry to hear u have not received these statements. I have re-escalated ur concern to our partners in [LOCATION] &amp; requested that they reach out to u as soon as possible, However it may take up to two business days to receive a call. I hope this information helps. ^EK",account management,1,neutral,1,375a96bb771a3e563965d24ab4e91766,ingest,LOC:India
19,2026-09-22T08:00:19+00:00,"Hello @244290 kindly dial *786*10# to activate the Night Call bundle, which costs N100, valid for 5days. Thank you.",product question,1,neutral,1,fd9bfd92c906e68951e7b21553c4f817,ingest,MISC:Night Call bundle
20,2026-09-22T08:00:20+00:00,with reference to my earlier tweet I haven't received any conversation from ur side @115821 I have already drop my details,complaint,1,negative,1,94e8de43075d2ff18bcfd689d725a8c3,ingest,
21,2026-09-22T08:00:21+00:00,"Anyone on here had problems adding a payment card to @115873, Select [LOCATION] put in postcode and it won't continue as invalid Zip Code ?",billing and payments,1,negative,1,debb9ad715eae6d7b326b8ab256a8bb1,ingest,LOC:UK
22,2026-09-22T08:00:22+00:00,So; the operator questioned why I was having a 16 year old as an unaccompanied minor... wow; and rather rudely.,complaint,1,negative,1,1e0a88d5ae759252f698ee169a29777f,ingest,
23,2026-09-22T08:00:23+00:00,"Okay, I would advise marking these as Spam. ^JH",technical issue,1,neutral,1,54a5d819d84e86338cced6a5485fe12e,ingest,
24,2026-09-22T08:00:24+00:00,We think our AAdvantage program is top notch; however we do value your feedback. We hope to see you in the air soon.,complaint,1,positive,1,b073f45c5fb59b47d338e0aa25dc2a1f,ingest,MISC:AAdvantage
25,2026-09-22T08:00:25+00:00,T-mobile had 2 promotions which I Renewed my contact.. Both were dishonored. Shame on T-Mobile,billing and payments,1,negative,1,a606e6b2ed889f0172e80982c04dc4e1,ingest,ORG:T-mobile; ORG:T-Mobile
26,2026-09-22T08:00:26+00:00,Why can't I delete my card from my account?,account management,1,negative,1,1977ab8c9f9473d8594671be4ddf9e7f,ingest,
27,2026-09-22T08:00:27+00:00,"and contact details and our representative will get in touch with you soon. Regards, [NAME] 2/2 [URL]",complaint,1,neutral,1,519ceae7ef178031c28aeff67d39f971,ingest,PER:Vicky
28,2026-09-22T08:00:28+00:00,We should be able to charge the driver for blowing us off.,complaint,1,negative,1,956f68852bdfac779dfda71aef27710b,ingest,
29,2026-09-22T08:00:29+00:00,Why are there no [NAME] songs on Spotify? This is a disgrace omgggg. @115888 @631411,complaint,1,negative,1,2f8f1810cfe93504f622d526b6a5923a,ingest,PER:Bob Seger; ORG:Spotify
30,2026-09-22T08:00:30+00:00,Wow you sure gave up easily,complaint,1,negative,1,0ff4bbab938b3724ca52b8541f65df2c,ingest,
