id,created_at,anonymized_text,topic,topic_score,sentiment,sentiment_score,conversation_id,source,entities
1,2026-09-23T08:00:01+00:00,El paquete fue reventado en el envío,delivery and shipping,1,negative,1,6eb7c7e8f755239d598bade25d1ddf42,ingest,
2,2026-09-23T08:00:02+00:00,@HPSupport Resolve technical queries related to  HP Network  Router just tab the [URL],technical issue,1,neutral,1,99218cd7514e3f7f7ce70b39edf94f0c,ingest,ORG:HPSupport; MISC:HP Network  Router
3,2026-09-23T08:00:03+00:00,"Hello, any vibes from the team yet as to whether it's a yea or a nay? Fingers crossed my end!",product question,1,neutral,1,203bb8c571a89789559985189c29e4bf,ingest,
4,2026-09-23T08:00:04+00:00,"Ever since the last update, my battery has been running down pretty fast! Sometimes within minutes, it's out. Please advise.",technical issue,1,negative,1,3d44304ed51cc63550c73560a7d8ddda,ingest,
5,2026-09-23T08:00:05+00:00,once we have more information regarding this issue. Hang in there. We would appreciate your patience on this. [NAME] OPPO Care (2/2),technical issue,1,neutral,1,ff74710015dc1741c0c43106157599da,ingest,PER:Divya; ORG:OPPO Care
6,2026-09-23T08:00:06+00:00,"Hi there, no, can't see a VT ref no. in any of the replies I've had so far",complaint,1,neutral,1,c95247137d7c213c1b6db26f8cfc56a2,ingest,ORG:VT
7,2026-09-23T08:00:07+00:00,"[URL] If data is needed, you can contact our data recovery team but it is not a free service: [URL]",technical issue,1,neutral,1,85238be374078ad98b0f71d53b1f134e,ingest,
8,2026-09-23T08:00:08+00:00,Please reach out to us here via phone as soon as you're able to: [URL] ^QJ,complaint,1,neutral,1,9569c73377fe438505d76a9881562f4a,ingest,
9,2026-09-23T08:00:09+00:00,[ID] Confirmed. Ksh410.00 paid to Thomava Route B on [DATE] at [DATE]. Pls I've snt to wng agelnt.pls hlp.[PHONE],billing and payments,1,negative,1,1027650839851d2c8909038ffb27dd3a,ingest,ORG:Thomava Route B
10,2026-09-23T08:00:10+00:00,"We apologize, again, check your SD card memory level. Thank you-SG",technical issue,1,neutral,1,933cc10051289ecf2547d8920a09bba8,ingest,MISC:SD card
